"Wine";"link";"Link_wine"
"Poggio Argentato Bianco 2016";"https://www.vivino.com/IT/en/fattoria-le-pupille-poggio-argentato-bianco-2016/w/1180252";"https://www.wine-searcher.com/find/fattoria+le+pupille+poggio+argentato+bianco/2016/#t4"
"Chianti Classico Clemente VII 2018";"https://www.vivino.com/IT/en/castelli-del-grevepesa-chianti-classico-clemente-vii-2018/w/12463";"https://www.wine-searcher.com/find/castelli+del+grevepesa+chianti+classico+clemente+vii/2018/#t4"
"Le Farnete Carmignano 2019";"https://www.vivino.com/IT/en/tenute-pierazzuoli-le-farnete-carmignano-2019/w/1182222";"https://www.wine-searcher.com/find/tenute+pierazzuoli+le+farnete+carmignano/2019/#t4"
"Scirè Bolgheri Rosso 2015";"https://www.vivino.com/IT/en/ceralti-scire-bolgheri-rosso-2015/w/1174855";"https://www.wine-searcher.com/find/ceralti+scire+bolgheri+rosso/2015/#t4"
"Al Limite Chianti Classico 2017";"https://www.vivino.com/IT/en/san-leonino-srl-al-limite-chianti-classico-2017/w/3671320";"https://www.wine-searcher.com/find/san+leonino+srl+al+limite+chianti+classico/2017/#t4"
"Achelo Rosso 2018";"https://www.vivino.com/IT/en/la-braccesca-achelo-rosso-2018/w/1665";"https://www.wine-searcher.com/find/la+braccesca+achelo+rosso/2018/#t4"
"Chianti Classico Clemente VII 2017";"https://www.vivino.com/IT/en/castelli-del-grevepesa-chianti-classico-clemente-vii-2017/w/12463";"https://www.wine-searcher.com/find/castelli+del+grevepesa+chianti+classico+clemente+vii/2017/#t4"
"Toscana Spartito di Castellare 2018";"https://www.vivino.com/IT/en/castellare-di-castellina-toscana-spartito-di-castellare-2018/w/1925698";"https://www.wine-searcher.com/find/castellare+di+castellina+toscana+spartito+di+castellare/2018/#t4"
"Contessa di Radda Chianti Classico 2018";"https://www.vivino.com/IT/en/geografico-contessa-di-radda-chianti-classico-2018/w/15332";"https://www.wine-searcher.com/find/geografico+contessa+di+radda+chianti+classico/2018/#t4"
"Brolio Chianti Classico 2019";"https://www.vivino.com/IT/en/ricasoli-brolio-chianti-classico-2019/w/1166103";"https://www.wine-searcher.com/find/ricasoli+brolio+chianti+classico/2019/#t4"
"Rosso di Montepulciano 2018";"https://www.vivino.com/IT/en/svetoni-rosso-di-montepulciano-2018/w/6482422";"https://www.wine-searcher.com/find/svetoni+rosso+di+montepulciano/2018/#t4"
"Zeno 2018";"https://www.vivino.com/IT/en/voltumna-zeno-2018/w/1813815";"https://www.wine-searcher.com/find/voltumna+zeno/2018/#t4"
"Contessa di Radda Chianti Classico 2019";"https://www.vivino.com/IT/en/geografico-contessa-di-radda-chianti-classico-2019/w/15332";"https://www.wine-searcher.com/find/geografico+contessa+di+radda+chianti+classico/2019/#t4"
"Santa Cristina In Pilli Carmignano 2018";"https://www.vivino.com/IT/en/ambra-santa-cristina-in-pilli-carmignano-2018/w/21076";"https://www.wine-searcher.com/find/ambra+santa+cristina+in+pilli+carmignano/2018/#t4"
"Nicolò Governo all’uso Toscano 2018";"https://www.vivino.com/IT/en/bindi-sergardi-nicolo-governo-all-uso-toscano-2018/w/6424802";"https://www.wine-searcher.com/find/bindi+sergardi+nicolo+governo+all+uso+toscano/2018/#t4"
"Pèppoli Chianti Classico 2020";"https://www.vivino.com/IT/en/antinori-tuscany-peppoli-chianti-classico-2020/w/1655";"https://www.wine-searcher.com/find/antinori+tuscany+peppoli+chianti+classico/2020/#t4"
"Valiano Chianti Classico 2017";"https://www.vivino.com/IT/en/valiano-valiano-chianti-classico-2017/w/2116008";"https://www.wine-searcher.com/find/valiano+valiano+chianti+classico/2017/#t4"
"Rossole 2012";"https://www.vivino.com/IT/en/borgo-salcetino-rossole-2012/w/1146026";"https://www.wine-searcher.com/find/borgo+salcetino+rossole/2012/#t4"
"Gemella Sauvignon Blanc 2019";"https://www.vivino.com/IT/en/bindella-gemella-sauvignon-blanc-2019/w/1174289";"https://www.wine-searcher.com/find/bindella+gemella+sauvignon+blanc/2019/#t4"
"Poggetto 2019";"https://www.vivino.com/IT/en/ravazzi-poggetto-2019/w/2976138";"https://www.wine-searcher.com/find/ravazzi+poggetto/2019/#t4"
"Fuori Misura Toscana Rosato 2020";"https://www.vivino.com/IT/en/san-giusto-a-rentennano-fuori-misura-toscana-rosato-2020/w/5123395";"https://www.wine-searcher.com/find/san+giusto+a+rentennano+fuori+misura+toscana+rosato/2020/#t4"
"Valiano Chianti Classico 2018";"https://www.vivino.com/IT/en/valiano-valiano-chianti-classico-2018/w/2116008";"https://www.wine-searcher.com/find/valiano+valiano+chianti+classico/2018/#t4"
